run	kind	rc	matches	seconds
1	full	0	0	12
2	full	0	0	11
3	full	0	0	11
4	full	0	0	12
5	full	0	0	11
6	full	0	0	11
7	full	0	0	11
8	full	0	0	11
9	full	0	0	11
10	full	0	0	12
11	full	0	0	11
12	full	0	0	11
13	full	0	0	11
14	full	0	0	11
15	full	0	0	12
1	targeted	0	0	1
2	targeted	0	0	1
3	targeted	0	0	1
1	supplementary	0	0	1
2	supplementary	0	0	1
3	supplementary	0	0	1
4	supplementary	0	0	1
5	supplementary	0	0	1
6	supplementary	0	0	1
7	supplementary	0	0	1
8	supplementary	0	0	1
9	supplementary	0	0	1
10	supplementary	0	0	1
